segment_id	cohort	lineage_passage	passage_index	oxygen_pct	selected_day	predicted_mean_chromosome	live_burden_fraction	direct_hypoxia_death_burden_fraction	nonviable_daughter_burden_fraction
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0	4N	11	21	0	5	83.3535286214153	0.700449450574326	0.0165097976020603	0.283040751823614
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0	4N	12	23	0	5	83.1522648508864	0.69893214461255	0.0164292672753822	0.284638588112069
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0	4N	13	25	0	5	82.9482243716327	0.697419325243178	0.0163479710594841	0.286232703697338
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0	4N	14	27	0	5	82.7427921747706	0.695918106552016	0.0162664596972164	0.287815433750767
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0	4N	15	28	0	2	82.6605153398915	0.783379445615228	0.0115222568869189	0.205098297497853
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0	4N	16	29	0	7	82.3734299703968	0.674618593738546	0.0171121369570092	0.308269269304445
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0	4N	17	30	0	7	82.0898260137397	0.672544304240014	0.0169910815823845	0.310464614177601
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0	4N	18	31	0	8	81.7729688836232	0.665289782751236	0.0171142264420529	0.317595990806712
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	4N	19	32	0	5	81.5800552962523	0.687714847611742	0.0158108478029812	0.296474304585278
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	4N	20	33	0	5	81.391735169999	0.686420601309898	0.0157379092231879	0.297841489466912
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	4N	21	34	0	5	81.2084355672828	0.685167837098262	0.0156671507478252	0.299165012153915
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	4N	22	35	0	3	81.1010086650038	0.729666449145516	0.0133746089647549	0.256958941889729
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	4N	23	36	0	5	80.9264048115129	0.683252361091789	0.0155587058203284	0.301188933087882
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	4N	24	37	0	5	80.7575262969709	0.682111731339844	0.0154940112220266	0.302394257438128
