context	family	n_seed	trajectory_delta	fixed_low_delta	fixed_mid_delta	fixed_high_delta	trajectory_direction	p_misseg_o2_0	p_misseg_o2_5
in vivo	C01	50	-1.11081975134005	1.62460349186685	0.817141343895332	4.92958803267681	decrease	0.115624717527675	0.00111479518782377
in vivo	C02	50	-1.26378539358473	1.71704053908673	0.767115818435785	4.80664227243219	decrease	0.15592259119656	0.00161307247400282
in vitro	C01	50	4.60766495849651	0.00123811948553743	0.0820768713480415	-0.903151834517719	increase	0.0100725886586791	0.00992744157002586
in vitro	C02	50	4.60753555536679	0.00138524676994733	0.0820631100134293	-0.90315018194207	increase	0.0100723976921567	0.00992673195067321
