metric	value
fixed_o2_evaluations	1809000
embedding_initial_rows	127500
embedding_endpoint_rows	500
selected_k	2
selected_silhouette	0.685055252516573
cluster_C01_n	53
cluster_C02_n	447
bh_significant_parameters	11
near_1pct	13
near_5pct	225
near_10pct	391
de_flag	500
local_attempted	500
local_accepted	460
local_code0	281
selected_active_bounds	1
