rank	seed	objective	burden_log_rmse	tumor_balanced_log_rmse	terminal_mean_n_mae	terminal_wasserstein1	terminal_total_variation	necrosis_fraction_mae
1	seed25	14.050815365841	0.667671973126046	0.632961344484353	3.02888035390816	4.37943945399021	0.681888083109419	0.082850900242672
2	seed74	14.1303663514864	0.667310569811704	0.633321989427057	3.37513988838307	4.83428448056835	0.699141569550389	0.089184820744737
3	seed366	14.135763881104	0.667624391815407	0.633702785137021	2.50752477755812	4.74203944039579	0.708287037990895	0.0789822207649768
4	seed292	14.1371976276395	0.672385190244872	0.638448472385367	2.7908575647411	4.59052444372331	0.698479461488226	0.0644328439561552
5	seed392	14.1466295461176	0.679008502857783	0.643323074093557	3.50553285608334	4.92082864095793	0.685812466011872	0.0926009611155046
6	seed165	14.1468921596458	0.678876944534518	0.642988573158784	3.42593358080061	4.8429482210564	0.684481005702053	0.0935491314602329
7	seed391	14.1546893694453	0.679636469799405	0.643819842234594	3.41387423730891	4.75696521134812	0.681596869855985	0.091053188488475
8	seed322	14.161339127846	0.668762544237583	0.634034685447281	3.01067283102484	4.96487447789435	0.711701796607	0.0783807808804359
9	seed6	14.1781510807137	0.678276079290284	0.642235738324127	3.53043975869795	5.12296596128233	0.696602499609835	0.0951475944155336
10	seed264	14.1785521482654	0.672615946351903	0.639542996693492	2.4283075392774	4.18256044203218	0.683536077698433	0.0810633967249306
